Frame,Timecode,Delta RGB,Delta Frame
0,00:00.0,72.69458767,0
1,00:00.0,72.69466146,7.38E-05
2,00:00.1,72.71065104,0.015989583
3,00:00.1,72.77612847,0.065477431
4,00:00.1,73.18673177,0.410603299
5,00:00.2,73.43005208,0.243320312
6,00:00.2,73.41898003,-0.011072049
7,00:00.2,73.48998264,0.071002604
8,00:00.3,73.75481771,0.264835069
9,00:00.3,73.92834635,0.173528646
10,00:00.3,73.97897135,0.050625
11,00:00.4,73.9911849,0.012213542
12,00:00.4,74.10521701,0.114032118
13,00:00.4,73.99051215,-0.114704861
14,00:00.5,73.79491319,-0.195598958
15,00:00.5,73.58813368,-0.206779514
16,00:00.5,73.58776476,-0.000368924
17,00:00.6,73.20064236,-0.387122396
18,00:00.6,72.96559462,-0.235047743
19,00:00.6,72.46141493,-0.504179687
20,00:00.7,72.02577691,-0.435638021
21,00:00.7,72.02709635,0.001319444
22,00:00.7,72.09160156,0.064505208
23,00:00.8,72.36367622,0.272074653
24,00:00.8,72.80157118,0.437894965
25,00:00.8,73.39503906,0.593467882
26,00:00.9,73.38330295,-0.011736111
27,00:00.9,73.39948351,0.016180556
28,00:00.9,73.80111111,0.401627604
29,00:01.0,74.38031684,0.579205729
30,00:01.0,74.85894965,0.478632812
31,00:01.0,74.85678819,-0.002161458
32,00:01.1,75.06584201,0.209053819
33,00:01.1,74.97136285,-0.094479167
34,00:01.1,74.84605035,-0.1253125
35,00:01.2,74.85476128,0.008710937
36,00:01.2,74.85533854,0.000577257
37,00:01.2,74.87792535,0.022586806
38,00:01.3,74.95846354,0.080538194
39,00:01.3,75.16916667,0.210703125
40,00:01.3,75.23974392,0.070577257
41,00:01.4,75.23476128,-0.004982639
42,00:01.4,75.41547309,0.180711806
43,00:01.4,75.63552951,0.220056424
44,00:01.5,75.84736111,0.211831597
45,00:01.5,75.73884115,-0.108519965
46,00:01.5,75.74384549,0.00500434
47,00:01.6,75.49142361,-0.252421875
48,00:01.6,75.30523872,-0.186184896
49,00:01.6,75.51323785,0.207999132
50,00:01.7,75.64892795,0.135690104
51,00:01.7,75.64825521,-0.000672743
52,00:01.7,75.89162326,0.243368056
53,00:01.8,76.02134115,0.129717882
54,00:01.8,76.16566406,0.144322917
55,00:01.8,76.39221354,0.226549479
56,00:01.9,76.38729167,-0.004921875
57,00:01.9,76.60096788,0.213676215
58,00:01.9,76.31954427,-0.281423611
59,00:02.0,76.36959635,0.050052083
60,00:02.0,76.1963151,-0.17328125
61,00:02.0,76.1963151,0
62,00:02.1,75.93410156,-0.262213542
63,00:02.1,75.71976997,-0.214331597
64,00:02.1,75.56235677,-0.157413194
65,00:02.2,75.44360243,-0.11875434
66,00:02.2,75.44434028,0.000737847
67,00:02.2,75.07721788,-0.367122396
68,00:02.3,74.94700521,-0.130212674
69,00:02.3,75.13568576,0.188680556
70,00:02.3,75.3606467,0.224960938
71,00:02.4,75.35296875,-0.007677951
72,00:02.4,75.65904948,0.306080729
73,00:02.4,75.90457899,0.245529514
74,00:02.5,75.80284722,-0.101731771
75,00:02.5,75.71979167,-0.083055556
76,00:02.5,75.71980035,8.68E-06
77,00:02.6,76.05107639,0.331276042
78,00:02.6,76.26027778,0.209201389
79,00:02.6,76.22657986,-0.033697917
80,00:02.7,75.97194878,-0.254631076
81,00:02.7,75.97509549,0.003146701
82,00:02.7,75.76980469,-0.205290799
83,00:02.8,75.63129774,-0.138506944
84,00:02.8,75.51161024,-0.1196875
85,00:02.8,75.65852865,0.146918403
86,00:02.9,75.65472222,-0.003806424
87,00:02.9,75.92956163,0.27483941
88,00:02.9,75.80077257,-0.128789062
89,00:03.0,75.90554253,0.104769965
90,00:03.0,75.97270399,0.067161458
91,00:03.0,75.96325955,-0.009444444
92,00:03.1,76.27330295,0.310043403
93,00:03.1,76.3616059,0.088302951
94,00:03.1,76.42801215,0.06640625
95,00:03.2,76.28365451,-0.144357639
96,00:03.2,76.28261719,-0.001037326
97,00:03.2,76.04309462,-0.239522569
98,00:03.3,76.15163194,0.108537326
99,00:03.3,76.42113715,0.269505208
100,00:03.3,76.20376736,-0.217369792
101,00:03.4,76.20460069,0.000833333
102,00:03.4,75.94437066,-0.260230035
103,00:03.4,76.02894097,0.084570313
104,00:03.5,76.07959201,0.050651042
105,00:03.5,76.30652344,0.226931424
106,00:03.5,76.30421441,-0.002309028
107,00:03.6,76.48543837,0.181223958
108,00:03.6,76.22508681,-0.260351562
109,00:03.6,76.04274306,-0.18234375
110,00:03.7,75.75104167,-0.291701389
111,00:03.7,75.75197483,0.00093316
112,00:03.7,75.80758681,0.055611979
113,00:03.8,75.86551215,0.057925347
114,00:03.8,75.86899306,0.003480903
115,00:03.8,75.85734375,-0.011649306
116,00:03.9,75.82679253,-0.030551215
117,00:03.9,75.57510851,-0.251684028
118,00:03.9,75.47358507,-0.101523438
119,00:04.0,75.63131944,0.157734375
120,00:04.0,75.70290799,0.071588542
121,00:04.0,75.70280382,-0.000104167
122,00:04.1,75.88263455,0.179830729
123,00:04.1,76.09099826,0.208363715
124,00:04.1,76.14635417,0.055355903
125,00:04.2,76.12830729,-0.018046875
